,dhs_id,site_id,site_name,latitude,longitude,rural_urban,country,country_id,continent_id,month_start,year_start,month_end,year_end,lower_age,upper_age,examined,positive,pr,species,method,rdt_type,pcr_type,malaria_metrics_available,location_available,permissions_info,citation1,citation2,citation3
2590,,19236,Ceengaab,10.9753,43.4392,RURAL,Somalia,SOM,Africa,5,2009,5,2009,2,79,33,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2597,,10462,Hurufle,0.859,42.5991,UNKNOWN,Somalia,SOM,Africa,12,2008,12,2008,0,99,45,2,0.0444,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2598,,8222,Shan,2.9854,45.517,UNKNOWN,Somalia,SOM,Africa,7,2009,7,2009,6,70,50,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2602,,5821,Accra (Cantonments),5.5688,-0.1728,URBAN,Ghana,GHA,Africa,10,2002,1,2003,0,4,23,3,0.1304,P. falciparum,Microscopy,,,true,true,,"Klinkenberg, E., McCall, P.J., Hastings, I.M., Wilson, M.D., Amerasinghe, F.P. and Donnelly, M.J. (2005).  <b>Malaria and irrigated crops, Accra, Ghana.</b> <i>Emerging Infectious Diseases</i>, <b>11</b>(8):1290-3",,
2606,,22018,Baghdad ,3.0329,46.3312,RURAL,Somalia,SOM,Africa,5,2008,6,2008,0,99,194,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2607,,11118,Cluster 520781,-3.152,30.2413,UNKNOWN,Burundi,BDI,Africa,5,2004,5,2004,1,99,11,6,0.5455,P. falciparum,Microscopy,,,true,true,,"Protopopoff, N., Van Herp, M., Maes, P., Reid, T., Baza, D., D'Alessandro, U., Van Bortel, W. and Coosemans, M. (2007).  <b>Vector control in a malaria epidemic occurring within a complex emergency situation in Burundi: a case study.</b> <i>Malaria Journal</i>, <b>6</b>():93","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2008).  <b>Spatial targeted vector control is able to reduce malaria prevalence in the highlands of Burundi.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>79</b>(1):12-8","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2007).  <b>Spatial targeted vector control in the highlands of Burundi and its impact on malaria transmission.</b> <i>Malaria Journal</i>, <b>6</b>(0):158"
2610,,16749,Ruiche,3.419,8.549,UNKNOWN,Equatorial Guinea,GNQ,Africa,3,1990,3,1990,0,15,108,69,0.6389,P. falciparum,Microscopy,,,true,true,, (1990). <i>Prevalence of malaria reports.</i> . Equatorial Guinea. Ministry of Public Health. , (2010). <b>http://mara-database.org/mara/.</b> . MARA/ARMA.,"Le Sueur, D., Binka, F., Lengeler, C., De Savigny, D., Snow, B., Teuscher, T. and Toure, Y. (1997).  <b>An atlas of malaria in Africa.</b> <i>Africa health</i>, <b>19</b>(2):23-4"
2619,,10050,Sheerbi,9.8634,49.0905,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,66,4,0.0606,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
2622,,5351,Balcad,2.6304,45.0667,UNKNOWN,Somalia,SOM,Africa,5,2009,5,2009,0.7,70,49,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2623,,2230,Garashka,4.2113,45.5637,UNKNOWN,Somalia,SOM,Africa,11,2009,11,2009,2,70,49,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2625,,22441,Jiriban (Cluster 1),7.2114,48.8502,RURAL,Somalia,SOM,Africa,11,2008,11,2008,0,99,193,1,0.0052,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2627,,16645,Tandika,-10.1851,39.5422,UNKNOWN,Tanzania,TZA,Africa,7,2004,8,2004,0,14,22,19,0.8636,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Schellenberg, D.M., . (2006) personal communication.",,
2630,,20093,Sheekh Aware/Golcaday/Bagay/Hooroone,10.5578,43.1398,UNKNOWN,Somalia,SOM,Africa,10,2008,10,2008,6,56,23,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2631,,16068,Xaskulle,2.6904,46.2535,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,22,0,0,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
2640,,17046,Mwandimu,-4.3459,39.474,UNKNOWN,Kenya,KEN,Africa,9,2003,9,2003,0.4,4,13,13,1,P. falciparum,RDT,Unknown,,true,true,,"Marsh, V.M. and Abuya, T., . (2004) personal communication.",,
2642,,21648,Cluster 13,-15.3526,30.3649,UNKNOWN,Zambia,ZMB,Africa,4,2008,5,2008,0,4,22,3,0.1364,P. falciparum,Microscopy,,,true,true,,"Eisele, TP, Miller, JM, Moonga, HB, Hamainza, B, Hutchinson, P and Keating, J (2011).  <b>Malaria infection and anemia prevalence in Zambia's Luangwa District: an area of near-universal insecticide-treated mosquito net coverage.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>84</b>(1):152-7",,
2645,,17360,Kawajense,-6.3301,31.0804,URBAN,Tanzania,TZA,Africa,6,2006,6,2006,0,4,48,5,0.1042,P. falciparum,RDT,Unknown,,true,true,,"Molteni, F., . (2006) personal communication.",,
2647,,110,Alluminankro,6.2329,-5.0423,RURAL,Côte d'Ivoire,CIV,Africa,5,2007,5,2007,0.5,5,92,50,0.5435,P. falciparum,Microscopy,,,true,true,,"Koudou, B.G., . (2008) personal communication.","Koudou, BG, Ghattas, H, Essé, C, Nsanzabana, C, Rohner, F, Utzinger, J, Faragher, BE and Tschannen, AB (2010).  <b>The use of insecticide-treated nets for reducing malaria morbidity among children aged 6-59 months, in an area of high malaria transmission in central Côte d'Ivoire.</b> <i>Parasites & Vectors</i>, <b>3</b>(0):91",
2648,,7768,Jafey,2.9107,42.9926,UNKNOWN,Somalia,SOM,Africa,3,2007,3,2007,1,99,50,16,0.32,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2650,,10332,Masolya Primary School,-0.0446,33.6168,UNKNOWN,Uganda,UGA,Africa,1,2010,3,2010,5,35,59,19,0.322,P. falciparum,Microscopy,,,true,true,,"Brooker, SJ, Pullan, RL, Gitonga, CW, Ashton, RA, Kolaczinski, JH, Kabatereine, NB and Snow, RW (2012).  <b><i>Plasmodium</i>-Helminth Coinfection and Its Sources of Heterogeneity Across East Africa.</b> <i>The Journal of Infectious Diseases</i>, <b>0</b>(0):0",,
2652,,6430,Libile,5.3328,46.4767,UNKNOWN,Somalia,SOM,Africa,5,2008,5,2008,0,99,70,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2663,,15560,Cluster 420851,-3.1863,30.2098,UNKNOWN,Burundi,BDI,Africa,11,2003,11,2003,1,99,12,5,0.4167,P. falciparum,Microscopy,,,true,true,,"Protopopoff, N., Van Herp, M., Maes, P., Reid, T., Baza, D., D'Alessandro, U., Van Bortel, W. and Coosemans, M. (2007).  <b>Vector control in a malaria epidemic occurring within a complex emergency situation in Burundi: a case study.</b> <i>Malaria Journal</i>, <b>6</b>():93","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2008).  <b>Spatial targeted vector control is able to reduce malaria prevalence in the highlands of Burundi.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>79</b>(1):12-8","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2007).  <b>Spatial targeted vector control in the highlands of Burundi and its impact on malaria transmission.</b> <i>Malaria Journal</i>, <b>6</b>(0):158"
2666,,20905,Junju (cluster 9),-3.8069,39.755,UNKNOWN,Kenya,KEN,Africa,2,2008,2,2008,0.3,9,54,3,0.0556,P. falciparum,Microscopy,,,true,true,,", Kilifi. (2008) personal communication.",,
2668,,15982,Gaalkayo Town,6.773,47.425,URBAN,Somalia,SOM,Africa,3,2009,4,2009,1,90,198,8,0.0404,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2670,,7327,Aayarow,3.0568,44.1489,RURAL,Somalia,SOM,Africa,3,2007,3,2007,0,99,44,1,0.0227,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2676,,20237,Lug-god,2.7077,45.0414,RURAL,Somalia,SOM,Africa,5,2008,6,2008,0,99,100,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2679,,11229,Libaxhar,9.4861,49.3994,UNKNOWN,Somalia,SOM,Africa,3,2009,4,2009,1,90,50,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2682,,17663,Magwanga,-26.8424,32.0202,UNKNOWN,South Africa,ZAF,Africa,9,1995,9,1995,0,99,240,19,0.0792,P. falciparum,Microscopy,,,true,true,, (1995). <i>Malaria Control: Monthly Report: Period 01-05-95 to 31-05-95.</i> 78a.32.5. Jozini. Department of Health. 1-7,,
2683,,7178,Baniko Ismaila,13.283,-14.136,UNKNOWN,Gambia,GMB,Africa,10,1992,10,1992,1,4,15,14,0.9333,P. falciparum,Microscopy,,,true,true,,"D'Alessandro, U., Olaleye, B.O., McGuire, W., Langerock, P., Bennett, S., Aikins, M.K., Thomson, M.C., Cham, M.K., Cham, B.A. and Greenwood, B.M. (1995).  <b>Mortality and morbidity from malaria in Gambian children after introduction of an impregnated bednet programme.</b> <i>The Lancet</i>, <b>345</b>(8948):479-83","D'Alessandro, U., . (2005) personal communication.",
2684,,10511,Akorikeya,2.0604,34.9348,UNKNOWN,Uganda,UGA,Africa,6,2006,9,2006,24,26,2,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Kolaczinski, J.H., Reithinger, R., Worku, D.T., Ocheng, A., Kasimiro, J., Kabatereine, N. and Brooker, S. (2008).  <b>Risk factors of visceral leishmaniasis in East Africa: a case-control study in Pokot territory of Kenya and Uganda.</b> <i>International Journal of Epidemiology</i>, <b>37</b>(2):344-52",,
2685,,11259,Sidzeni & Kilodi,-3.4033,39.9161,UNKNOWN,Kenya,KEN,Africa,6,1995,6,1995,1,9,16,12,0.75,P. falciparum,Microscopy,,,true,true,,"Snow, R.W., Omumbo, J.A., Lowe, B., Molyneux, C.S., Obiero, J.O., Palmer, A., Weber, M.W., Pinder, M., Nahlen, B., Obonyo, C., Newbold, C., Gupta, S. and Marsh, K. (1997).  <b>Relation between severe malaria morbidity in children and level of <i>Plasmodium falciparum</i> transmission in Africa.</b> <i>The Lancet</i>, <b>349</b>(9066):1650-4","Snow, R.W., . (1997) personal communication.",
2686,,12472,Shalaambood,1.7031,44.6951,RURAL,Somalia,SOM,Africa,5,2009,5,2009,1,80,100,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2688,,10591,Sablaale Town,1.3,43.883,URBAN,Somalia,SOM,Africa,6,2007,6,2007,0,99,48,2,0.0417,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2689,,4285,Biyocadde,2.461,43.7742,RURAL,Somalia,SOM,Africa,3,2007,3,2007,0,99,45,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2700,,17991,Cashsrow Leysan 2,1.6478,42.3573,RURAL,Somalia,SOM,Africa,11,2007,12,2007,0,99,50,16,0.32,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2703,,97,Kaptora Primary School,1.0721,35.6126,RURAL,Kenya,KEN,Africa,11,2009,11,2009,5,17,110,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",
2708,,9634,Mogorwa Primary School,0.3121,35.719,UNKNOWN,Kenya,KEN,Africa,11,2009,11,2009,5,17,80,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",
2713,,362,Cluster 186,-18.9395,32.8702,URBAN,Mozambique,MOZ,Africa,6,2007,7,2007,0,4,3,0,0,P. falciparum,Microscopy,,,true,true,,"Kilian, A., . (2008) personal communication.","Mabunda, S, Mathe, G, Streat, E, Nery, S and Kilian, A (2008). <i>National Malaria Indicator Survey, Mozambique (MIS-2007).</i> 1. Maputo. Ministry of Health. 1-1",
2715,,4252,Sengera Primary School,-0.9277,34.7198,UNKNOWN,Kenya,KEN,Africa,7,2009,7,2009,4,15,111,0,0,P. falciparum,RDT,Unknown,,true,true,,"Snow, RW, Noor, A and Gitonga, C, Nairobi. (2009) personal communication.","Gitonga, CW, Karanja, PN, Kihara, J, Mwanje, M, Juma, E, Snow, RW, Noor, AM and Brooker, S (2010).  <b>Implementing school malaria surveys in Kenya: towards a national surveillance system.</b> <i>Malaria Journal</i>, <b>9</b>(0):306",
2716,,4921,Bulyang’ombe,-4.2701,33.658,RURAL,Tanzania,TZA,Africa,6,2006,6,2006,0,4,50,14,0.28,P. falciparum,RDT,Unknown,,true,true,,"Molteni, F., . (2006) personal communication.",,
2718,,17213,Mdzongoloni & Kakanjuni/Kwa Kimanje,-3.5518,39.8337,UNKNOWN,Kenya,KEN,Africa,6,1989,10,1991,0,5,10,3,0.3,P. falciparum,Microscopy,,,true,true,,"Snow, R.W., . (1991) personal communication.",,
2721,,9895,Mataban,5.2013,45.5248,RURAL,Somalia,SOM,Africa,3,2007,3,2007,8,59,63,14,0.2222,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2722,,8036,Kibukoni,-3.5964,39.8028,UNKNOWN,Kenya,KEN,Africa,3,1995,3,1995,0,4,92,50,0.5435,P. falciparum,Microscopy,,,true,true,,"Marsh, K., . (1995) personal communication.",,
2724,,8973,Dheryooley,2.1198,44.6436,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,1,0,0,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
2725,,3808,Yaabley,2.8198,45.6709,RURAL,Somalia,SOM,Africa,5,2008,6,2008,0,99,101,1,0.0099,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2728,,4072,Bisangdugu,13.302,-14.083,UNKNOWN,Gambia,GMB,Africa,10,1992,10,1992,1,4,31,19,0.6129,P. falciparum,Microscopy,,,true,true,,"D'Alessandro, U., Olaleye, B.O., McGuire, W., Langerock, P., Bennett, S., Aikins, M.K., Thomson, M.C., Cham, M.K., Cham, B.A. and Greenwood, B.M. (1995).  <b>Mortality and morbidity from malaria in Gambian children after introduction of an impregnated bednet programme.</b> <i>The Lancet</i>, <b>345</b>(8948):479-83","D'Alessandro, U., . (2005) personal communication.",
2729,,19865,Cluster 3,-0.834,34.8264,UNKNOWN,Kenya,KEN,Africa,7,2000,7,2000,1,70,51,6,0.1176,P. falciparum,RDT,ICT Diagnostics Malaria P.f. ML01,,true,true,,"Guyatt, H.L., Corlett, S.K., Robinson, T.P., Ochola, S.A. and Snow, R.W. (2002).  <b>Malaria prevention in highland Kenya: indoor residual house-spraying vs. insecticide-treated bednets.</b> <i>Tropical Medicine & International Health</i>, <b>7</b>(4):298-303","Snow, RW, . (2002) personal communication.",
2734,,13443,Sombili,11.51,-12.46,RURAL,Guinea,GIN,Africa,8,1989,9,1989,2,9,165,107,0.6485,P. falciparum,Microscopy,,,true,true,,"Bosman, A., Modiano, D., Voglino, M.C., Pizzi, L., Bartoloni, P., Kandia Diallo, I. and De Giorgi, F. (1992).  <b>Malaria transmission in a central area of Futa Djalon (Guinea): results of a parasitological survey during the 1989 rainy season.</b> <i>Parassitologia</i>, <b>34</b>(1-3):135-42",,
2744,,975,Jaamalaye,10.4455,45.0152,URBAN,Somalia,SOM,Africa,9,2007,9,2007,0,99,162,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2748,,6968,Siaya,0.0642,34.2835,URBAN,Kenya,KEN,Africa,9,1997,9,1997,0,17,854,507,0.5937,P. falciparum,Microscopy,,,true,true,,"Friis, H., Mwaniki, D., Omondi, B., Muniu, E., Magnussen, P., Geissler, W., Thiong'o, F. and Michaelsen, K.F. (1997).  <b>Serum retinol concentrations and <i>Schistosoma mansoni</i>, intestinal helminths, and malarial parasitemia: a cross-sectional study in Kenyan preschool and primary school children.</b> <i>American Journal of Clinical Nutrition</i>, <b>66</b>(3):665-71",,
2751,,4970,Hargeisa Town-Jungalka,9.5606,44.0837,URBAN,Somalia,SOM,Africa,5,2009,5,2009,0.5,40,50,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2753,,13346,Ambowe,0.433,9.45,URBAN,Gabon,GAB,Africa,10,1985,10,1985,6,14,583,103,0.1767,P. falciparum,Microscopy,,,true,true,,"Richard-Lenoble, D., Kombila, M., Chandenier, J., Gay, F., Billiault, X., Nguiri, C., Martz, M., Boyer, F. and Bauzou, M. (1987).  <b>Malaria in Gabon. 2. Evaluation of the qualitative and quantitative prevalence of parasites in the total school and preschool population of the country.</b> <i>Bulletin de la Société de Pathologie Exotique</i>, <b>80</b>(3 Pt 2):532-42",,
2763,,5313,Loboi,0.3552,36.0643,UNKNOWN,Kenya,KEN,Africa,8,1989,8,1989,5,15,319,34,0.1066,P. falciparum,Microscopy,,,true,true,,"Mutinga, M.J., Mnzava, A., Kimokoti, R., Nyamori, M. and Ngindu, A.M. (1993).  <b>Malaria prevalence and morbidity in relation to the use of permethrin-treated wall cloths in Kenya.</b> <i>East African Medical Journal</i>, <b>70</b>(12):756-62",,
2767,,8378,Pallen Wollof,13.5592,-15.4394,UNKNOWN,Gambia,GMB,Africa,2,2008,2,2008,0,14,118,20,0.1695,P. falciparum,Microscopy,,,true,true,,"Walther, M., . (2008) personal communication.",,
2768,,19015,Nouna,12.728,-3.861,URBAN,Burkina Faso,BFA,Africa,11,2003,11,2003,0,6,186,28,0.1505,P. falciparum,Microscopy,,,true,true,,"Yé, Y., Yé, Y., Yé, Y., Hoshen, M., Hoshen, M., Hoshen, M., Louis, V., Louis, V., Louis, V., Séraphin, S., Séraphin, S., Séraphin, S., Traoré, I., Traoré, I., Traoré, I., Sauerborn, R., Sauerborn, R. and Sauerborn, R. (2006).  <b>Housing conditions and <i>Plasmodium falciparum</i> infection: protective effect of iron-sheet roofed houses.</b> <i>Malaria Journal</i>, <b>5</b>():8",,
2769,,3811,Tsuini Primary School,-4.601,39.1668,UNKNOWN,Kenya,KEN,Africa,5,2002,5,2002,5,15,573,242,0.4223,P. falciparum,Microscopy,,,true,true,,"King, C.L., . (2009) personal communication.",,
2771,,17611,Cluster 337,-25.9282,32.559,URBAN,Mozambique,MOZ,Africa,6,2007,7,2007,1,4,13,0,0,P. falciparum,Microscopy,,,true,true,,"Kilian, A., . (2008) personal communication.","Mabunda, S, Mathe, G, Streat, E, Nery, S and Kilian, A (2008). <i>National Malaria Indicator Survey, Mozambique (MIS-2007).</i> 1. Maputo. Ministry of Health. 1-1",
2779,,819,Mwezangombe,-3.5876,39.8492,UNKNOWN,Kenya,KEN,Africa,6,1989,11,1991,0,6,20,8,0.4,P. falciparum,Microscopy,,,true,true,,"Snow, R.W., . (1991) personal communication.",,
2782,,5975,Walanwein Town A and B,2.621,44.896,URBAN,Somalia,SOM,Africa,6,2007,6,2007,0,99,100,7,0.07,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2785,,11486,Kaxare,2.853,45.4364,RURAL,Somalia,SOM,Africa,1,2005,2,2005,0,99,19,0,0,P. falciparum,RDT,ParaHIT - F Ver 1.0 - 55IC10450,,true,true,," (2005). <i>National Malaria Prevalence Survey, Somalia, January - February 2005, Final Report.</i> . . 1-37",,
2787,,6743,Maanyo Murug,1.767,44.483,UNKNOWN,Somalia,SOM,Africa,6,2007,6,2007,0,99,54,6,0.1111,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2793,,9409,Kilendewale,-9.8264,39.0308,UNKNOWN,Tanzania,TZA,Africa,7,2004,8,2004,0,14,17,14,0.8235,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Schellenberg, D.M., . (2006) personal communication.",,
2796,,8062,Cluster 142,-16.1395,33.6318,URBAN,Mozambique,MOZ,Africa,6,2007,7,2007,0,4,9,0,0,P. falciparum,Microscopy,,,true,true,,"Kilian, A., . (2008) personal communication.","Mabunda, S, Mathe, G, Streat, E, Nery, S and Kilian, A (2008). <i>National Malaria Indicator Survey, Mozambique (MIS-2007).</i> 1. Maputo. Ministry of Health. 1-1",
2797,,1869,Chozi,-9.299,32.351,UNKNOWN,Zambia,ZMB,Africa,7,1985,8,1985,2,14,701,260,0.3709,P. falciparum,Microscopy,,,true,true,,"Maboshe, M.N. and Wurapa, F.K. (1988).  <b>A comparison of the sensitivity of <i>Plasmodium falciparum</i> malaria to chloroquine in two areas of Isoka District--Zambia.</b> <i>Central African Journal of Medicine</i>, <b>34</b>(10):244-6",,
2798,,19830,Busley,4.0202,44.094,UNKNOWN,Somalia,SOM,Africa,7,2008,7,2008,8,50,15,0,0,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,," and , . (2009) personal communication.",,
2805,,3002,Weil Garas,2.3757,42.5897,UNKNOWN,Somalia,SOM,Africa,3,2007,3,2007,1,99,50,22,0.44,P. falciparum,RDT,Paracheck PF - Rapid test for p.falciparum Malaria Device Ver. 3 302030025,,true,true,,"Noor, AM, Clements, AC, Gething, PW, Moloney, G, Borle, M, Shewchuk, T, Hay, SI and Snow, RW (2008).  <b>Spatial prediction of <i>Plasmodium falciparum</i> prevalence in Somalia.</b> <i>Malaria Journal</i>, <b>7</b>(0):159"," and , . (2007) personal communication.",
2807,,4213,Kibakwe,-6.7125,36.372,URBAN,Tanzania,TZA,Africa,6,2006,6,2006,0,4,50,1,0.02,P. falciparum,RDT,Unknown,,true,true,,"Molteni, F., . (2006) personal communication.",,
2810,,10421,Cluster 710331,-3.197,30.1215,UNKNOWN,Burundi,BDI,Africa,5,2005,5,2005,1,99,14,2,0.1429,P. falciparum,Microscopy,,,true,true,,"Protopopoff, N., Van Herp, M., Maes, P., Reid, T., Baza, D., D'Alessandro, U., Van Bortel, W. and Coosemans, M. (2007).  <b>Vector control in a malaria epidemic occurring within a complex emergency situation in Burundi: a case study.</b> <i>Malaria Journal</i>, <b>6</b>():93","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2008).  <b>Spatial targeted vector control is able to reduce malaria prevalence in the highlands of Burundi.</b> <i>The American journal of tropical medicine and hygiene</i>, <b>79</b>(1):12-8","Protopopoff, N, Van Bortel, W, Marcotty, T, Van Herp, M, Maes, P, Baza, D, D'Alessandro, U and Coosemans, M (2007).  <b>Spatial targeted vector control in the highlands of Burundi and its impact on malaria transmission.</b> <i>Malaria Journal</i>, <b>6</b>(0):158"
